00111100000,01000010000,01111110000
00011110000,00100001000,00111111000
00001111000,00010000100,00011111100
00000111100,00001000010,00001111110
01011100000,10100010000,11111110000
00101110000,01010001000,01111111000
00010111000,00101000100,00111111100
00000101110,00001010001,00001111111
01101100000,10010010000,11111110000
00110110000,01001001000,01111111000
00001101100,00010010010,00011111110
00000110110,00001001001,00001111111
01110100000,10001010000,11111110000
00011101000,00100010100,00111111100
00001110100,00010001010,00011111110
00000111010,00001000101,00001111111